source.code,original.source.code,list.name,authours,title,publication,year,volume,issue,start.page.no,end.page.no,doi,abstract
233,233,secondary data - with data,"Braghin, LDM; Dias, JD; Simoes, NR; Bonecker, CC","Food availability, depth, and turbidity drive zooplankton functional diversity over time in a Neotropical floodplain",AQUATIC SCIENCES,2020,83,1,,,10.1007/s00027-020-00763-7,
238,238,primary data,"Alcantara, I; Piccini, CB; Segura, AM; Deus, S; González, C; de la Escalera, GM; Kruk, C",Improved biovolume estimation of Microcystis aeruginosa colonies: A statistical approach,JOURNAL OF MICROBIOLOGICAL METHODS,2018,151,,20,27,10.1016/j.mimet.2018.05.021,
240,240,secondary data - with data,"Bestová, H; Munoz, F; Svoboda, P; Skaloud, P; Violle, C",Ecological and biogeographical drivers of freshwater green algae biodiversity: from local communities to large-scale species pools of desmids,OECOLOGIA,2018,186,4,1017,1030,10.1007/s00442-018-4074-x,
244,244,secondary data - with data,"Kruk, C; Devercelli, M; Huszar, VLM; Hernández, E; Beamud, G; Diaz, M; Silva, LHS; Segura, AM",Classification of Reynolds phytoplankton functional groups using individual traits and machine learning techniques,FRESHWATER BIOLOGY,2017,62,10,1681,1692,10.1111/fwb.12968,
246,246,secondary data - with data,"Lokko, K; Virro, T; Kotta, J",Seasonal variability in the structure and functional diversity of psammic rotifer communities: role of environmental parameters,HYDROBIOLOGIA,2017,796,1,287,307,10.1007/s10750-016-2923-3,
251,251,secondary data - with data,"Horne, CR; Hirst, AG; Atkinson, D; Neves, A; Kiorboe, T",A global synthesis of seasonal temperature-size responses in copepods,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2016,25,8,988,999,10.1111/geb.12460,
253,253,secondary data - with data,"Kalinoski, RM; DeLong, JP",Beyond body mass: how prey traits improve predictions of functional response parameters,OECOLOGIA,2016,180,2,543,550,10.1007/s00442-015-3487-z,
255,255,secondary data - with data,"Riessen, HP",Water temperature alters predation risk and the adaptive landscape of induced defenses in plankton communities,LIMNOLOGY AND OCEANOGRAPHY,2015,60,6,2037,2047,10.1002/lno.10150,
256,256,secondary data - just sources (lmp),"Doubek, JP; Carey, CC; Cardinale, BJ",Anthropogenic land use is associated with N-fixing cyanobacterial dominance in lakes across the continental United States,AQUATIC SCIENCES,2015,77,4,681,694,10.1007/s00027-015-0411-x,
258,258,secondary data - just sources,"Schramski, JR; Dell, AI; Grady, JM; Sibly, RM; Brown, JH",Metabolic theory predicts whole-ecosystem properties,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2015,112,8,2617,2622,10.1073/pnas.1423502112,
259,259,secondary data - just sources,"Quintana, XD; Arim, M; Badosa, A; Blanco, JM; Boix, D; Brucet, S; Compte, J; Egozcue, JJ; de Eyto, E; Gaedke, U; Gascón, S; de Sola, LG; Irvine, K; Jeppesen, E; Lauridsen, TL; López-Flores, R; Mehner, T; Romo, S; Sondergaard, M",Predation and competition effects on the size diversity of aquatic communities,AQUATIC SCIENCES,2015,77,1,45,57,10.1007/s00027-014-0368-1,
260,260,secondary data - with data,"Kistenich, S; Dressler, M; Zimmermann, J; Hübener, T; Bastrop, R; Jahn, R",An investigation into the morphology and genetics of Cyclotella comensis and closely related taxa,DIATOM RESEARCH,2014,29,4,423,440,10.1080/0269249X.2014.922125,
261,261,secondary data - with data,"Nakov, T; Theriot, EC; Alverson, AJ",Using phylogeny to model cell size evolution in marine and freshwater diatoms,LIMNOLOGY AND OCEANOGRAPHY,2014,59,1,79,86,10.4319/lo.2014.59.1.0079,
262,262,secondary data - just sources (lmp),"Rigosi, A; Carey, CC; Ibelings, BW; Brookes, JD",The interaction between climate warming and eutrophication to promote cyanobacteria is dependent on trophic state and varies among taxa,LIMNOLOGY AND OCEANOGRAPHY,2014,59,1,99,114,10.4319/lo.2014.59.1.0099,
263,263,secondary data - with data,"Sastri, AR; Juneau, P; Beisner, BE",Evaluation of chitobiase-based estimates of biomass and production rates for developing freshwater crustacean zooplankton communities,JOURNAL OF PLANKTON RESEARCH,2013,35,2,407,420,10.1093/plankt/fbs104,
264,264,secondary data - just sources,"Sommer, U; Adrian, R; Bauer, B; Winder, M",The response of temperate aquatic ecosystems to global warming: novel insights from a multidisciplinary project,MARINE BIOLOGY,2012,159,11,2367,2377,10.1007/s00227-012-2085-4,
266,266,loads of sources,"Edwards, KF; Thomas, MK; Klausmeier, CA; Litchman, E",Allometric scaling and taxonomic variation in nutrient utilization traits and maximum growth rate of phytoplankton,LIMNOLOGY AND OCEANOGRAPHY,2012,57,2,554,566,10.4319/lo.2012.57.2.0554,
267,267,loads of sources,"Edwards, KF; Klausmeier, CA; Litchman, E",Evidence for a three-way trade-off between nitrogen and phosphorus competitive abilities and cell size in phytoplankton,ECOLOGY,2011,92,11,2085,2095,10.1890/11-0395.1,
268,268,secondary data - with data,"Schwaderer, AS; Yoshiyama, K; Pinto, PT; Swenson, NG; Klausmeier, CA; Litchman, E",Eco-evolutionary differences in light utilization traits and distributions of freshwater phytoplankton,LIMNOLOGY AND OCEANOGRAPHY,2011,56,2,589,598,10.4319/lo.2011.56.2.0589,
269,269,secondary data - with data,"Bruggeman, J",A PHYLOGENETIC APPROACH TO THE ESTIMATION OF PHYTOPLANKTON TRAITS,JOURNAL OF PHYCOLOGY,2011,47,1,52,65,10.1111/j.1529-8817.2010.00946.x,
270,270,secondary data - just sources,"Shurin, JB; Cottenie, K; Hillebrand, H",Spatial autocorrelation and dispersal limitation in freshwater organisms,OECOLOGIA,2009,159,1,151,159,10.1007/s00442-008-1174-z,
271,271,secondary data - with data,"Barnett, AJ; Finlay, K; Beisner, BE",Functional diversity of crustacean zooplankton communities: towards a trait-based classification,FRESHWATER BIOLOGY,2007,52,5,796,813,10.1111/j.1365-2427.2007.01733.x,
275,275,secondary data - with data,"Gillooly, JF; Dodson, SI","Latitudinal patterns in the size distribution and seasonal dynamics of new world, freshwater cladocerans",LIMNOLOGY AND OCEANOGRAPHY,2000,45,1,22,30,10.4319/lo.2000.45.1.0022,
279,279,secondary data - with data,"MalinskyRushansky, NZ; Legrand, C",Excretion of dissolved organic carbon by phytoplankton of different sizes and subsequent bacterial uptake,MARINE ECOLOGY PROGRESS SERIES,1996,132,1-3,249,255,10.3354/meps132249,
281,281,secondary data - with data,"KOIVISTO, S",IS DAPHNIA-MAGNA AN ECOLOGICALLY REPRESENTATIVE ZOOPLANKTON SPECIES IN TOXICITY TESTS,ENVIRONMENTAL POLLUTION,1995,90,2,263,267,10.1016/0269-7491(95)00029-Q,
283,283,secondary data - with data,"CHOWFRASER, P; SPRULES, WG","TYPE-3 FUNCTIONAL-RESPONSE IN LIMNETIC SUSPENSION-FEEDERS, AS DEMONSTRATED BY INSITU GRAZING RATES",HYDROBIOLOGIA,1992,232,3,175,191,10.1007/BF00013703,
284,284,secondary data - with data,"HART, RC","COPEPOD POSTEMBRYONIC DURATIONS - PATTERN, CONFORMITY, AND PREDICTABILITY - THE REALITIES OF ISOCHRONAL AND EQUIPROPORTIONAL DEVELOPMENT, AND TRENDS IN THE COPEPODID-NAUPLIAR DURATION RATIO",HYDROBIOLOGIA,1990,206,3,175,206,10.1007/BF00014085,
285,285,,"Cabrera, M; Capparelli, M; Ortega-Andrade, M; Medina-Villamizar, EJ; Rico, A",Effects of the insecticide imidacloprid on aquatic invertebrate communities of the Ecuadorian Amazon,ENVIRONMENTAL POLLUTION,2024,357,,,,10.1016/j.envpol.2024.124459,
286,286,,"Huynh, TH; Horváth, Z; Pálffy, K; Kardos, V; Szabó, B; Dobosy, P; Vad, CF",Heatwave-induced functional shifts in zooplankton communities result in weaker top-down control on phytoplankton,ECOLOGY AND EVOLUTION,2024,14,8,,,10.1002/ece3.70096,
287,287,,"Weisse, T",Thermal response of freshwater ciliates: Can they survive at elevated lake temperatures?,FRESHWATER BIOLOGY,2024,NA,,,,10.1111/fwb.14302,
288,288,,"Diel, P; Kiene, M; Laforsch, C",Variation in defensive spines across juvenile instars of Daphnia magna,JOURNAL OF PLANKTON RESEARCH,2024,46,4,452,458,10.1093/plankt/fbae033,
289,289,,"Gurung, A; Mukherjee, S; Declercq, M; Souffreau, C; De Meester, L",Strain-dependent and host genotype-dependent priority effects in gut microbiome assembly affect host fitness in Daphnia,LIMNOLOGY AND OCEANOGRAPHY,2024,NA,,,,10.1002/lno.12614,
290,290,,"Paris, L; Dutaut, M; Coly, S; Foltier, D; Gire, B; Coulon, M; Thouvenot, A; Latour, D; Legrand, B",Effect of water temperature on the signal of a phycocyanin probe and correction factor applied to three morphotypes to improve field monitoring of cyanobacteria,ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,2024,82,,,,10.1016/j.algal.2024.103599,
291,291,,"Ma, MD; Li, JX; Lu, AR; Zhu, PX; Yin, XW",Effects of phytoplankton diversity on resource use efficiency in a eutrophic urban river of Northern China,FRONTIERS IN ENVIRONMENTAL SCIENCE,2024,12,,,,10.3389/fenvs.2024.1389220,
292,292,,"Bazin, S; Diouloufet, V; Molina, A; Peroux, T; Montoya, JM; Blanchet, S; Edeline, E; Jacquet, S; Rasconi, S; Fayolle, S; Campana, M; Zambeaux, T; Leclerc, C; Lassus, R; Morla, J; Daufresne, M; Sentis, A",Direct effect of artificial warming on communities is stronger than its indirect effect through body mass reduction,OIKOS,2024,NA,,,,10.1111/oik.10561,
293,293,,"Lejeune, B; Lepoint, G; Denoël, M",Food web collapse and regime shift following goldfish introduction in permanent ponds,GLOBAL CHANGE BIOLOGY,2024,30,7,,,10.1111/gcb.17435,
294,294,,"Kiene, M; Schott, M; Martin-Creuzburg, D; Laforsch, C",Food quantity and quality modulates inducible defenses in a common predator-prey system,LIMNOLOGY AND OCEANOGRAPHY,2024,69,7,1535,1546,10.1002/lno.12595,
295,295,,"Dos Santos, NG; Chiarelli, LJ; Morari, PHR; de Souza, MET; Calixto, G; Kato, BED; Rodrigues, GLD; Figueira, LC; Castilho-Noll, MSM",How land use affects freshwater zooplankton communities: a global overview,HYDROBIOLOGIA,2024,NA,,,,10.1007/s10750-024-05562-x,
296,296,,"Akter, S; Wilfert, K; Saliu, OR; Schoelynck, J; De Boeck, G",Feeding on stressed algae exerts important effects on life history traits of Daphnia magna in a multi-stressor environment,AQUATIC TOXICOLOGY,2024,273,,,,10.1016/j.aquatox.2024.106988,
297,297,,"Huang, J; Gu, L; Sun, YF; Zhang, L; Huang, Y; Yang, Z",Declining aqueous calcium and fish predation risk interactively modify the phenotypic plasticity in Daphnia pulex,ENVIRONMENTAL POLLUTION,2024,356,,,,10.1016/j.envpol.2024.124266,
298,298,,"Quevedo-Ortiz, G; Fernández-Calero, J; Cañedo-Argüelles, M; von Schiller, D; Fortuño, P; Bonada, N; Gomà, J",An experimental study to assess resistance and resilience strategies of freshwater diatoms to cope with drying in Mediterranean temporary rivers,HYDROBIOLOGIA,2024,NA,,,,10.1007/s10750-024-05585-4,
299,299,,"Bulut, H; Saler, S",BODY SIZE VARIATIONS OF DAPHNIA CUCULLATA SARS IN A RESERVOIR (ELAZIG-TURKIYE),APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2024,NA,,,,10.15666/aeer/2204_32053215,
300,300,,"Nauman, C; Stanislawczyk, K; Reitz, LA; Chaffin, JD",The spatiotemporal distribution of potential saxitoxin-producing cyanobacteria in western Lake Erie,JOURNAL OF GREAT LAKES RESEARCH,2024,50,3,,,10.1016/j.jglr.2024.102342,
301,301,,"Procházková, P; Kalcíková, G; Marsálková, E; Gargosová, HZ; Kucerík, J",Innovative approach for quantitative determination of ingested microplastics by Daphnia magna: use of differential scanning calorimetry and thermogravimetry,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,2024,NA,,,,10.1007/s10973-024-12985-0,
302,302,,"Gammuto, L; Serra, V; Petroni, G; Todaro, MA","Molecular phylogenetic position and description of a new genus and species of freshwater Chaetonotidae (Gastrotricha: Chaetonotida: Paucitubulatina), and the annotation of its mitochondrial genome",INVERTEBRATE SYSTEMATICS,2024,38,7,,,10.1071/IS23059,
303,303,,"Yang, LJ; Tao, Y; Jiang, X; Wang, Y; Li, YH; Zhou, L; Wang, PZ; Li, YY; Zhao, X; Wang, HJ; Jeppesen, E; Xie, P",Interactive effects of nutrients and salinity on zooplankton in subtropical plateau lakes with contrasting water depth,FRONTIERS IN ENVIRONMENTAL SCIENCE,2023,11,,,,10.3389/fenvs.2023.1110746,
304,304,,"Pasternak, A; Drits, A; Arashkevich, E; Flint, M",Differential Impact of the Khatanga and Lena (Laptev Sea) Runoff on the Distribution and Grazing of Zooplankton,FRONTIERS IN MARINE SCIENCE,2022,9,,,,10.3389/fmars.2022.881383,
305,305,,"Baho, DL; Leu, E; Pomati, F; Hessen, DO; Norberg, J; Moe, SJ; Skjelbred, B; Nizzetto, L",Resilience of Natural Phytoplankton Communities to Pulse Disturbances from Micropollutant Exposure and Vertical Mixing,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,2019,38,10,2197,2208,10.1002/etc.4536,
306,306,,"Grosbois, G; Mariash, H; Schneider, T; Rautio, M",Under-ice availability of phytoplankton lipids is key to freshwater zooplankton winter survival,SCIENTIFIC REPORTS,2017,7,,,,10.1038/s41598-017-10956-0,
307,307,,"Xu, DL; Cai, Y; Jiang, H; Wu, XQ; Leng, X; An, SQ","Variations of Food Web Structure and Energy Availability of Shallow Lake with Long-Term Eutrophication: A Case Study from Lake Taihu, China",CLEAN-SOIL AIR WATER,2016,44,10,1306,1314,10.1002/clen.201300837,
308,308,,"Ikeda, T",Synthesis towards a global-bathymetric model of metabolism and chemical composition of mysid crustaceans,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,2013,445,,79,87,10.1016/j.jembe.2013.04.001,
309,309,,"Sterner, RW; Schwalbach, MS",Diel integration of food quality by Daphnia:: Luxury consumption by a freshwater planktonic herbivore,LIMNOLOGY AND OCEANOGRAPHY,2001,46,2,410,416,10.4319/lo.2001.46.2.0410,
310,310,,"Ignatow, M; Mbahinzireki, G; Lehman, JT","Secondary production and energetics of the shrimp Caridina nilotica in Lake Victoria, East Africa: Model development and application",HYDROBIOLOGIA,1996,332,3,175,181,10.1007/BF00031923,
311,311,,"Young, BL; Padilla, DK; Schneider, DW; Hewett, SW",The importance of size-frequency relationships for predicting ecological impact of zebra mussel populations,HYDROBIOLOGIA,1996,332,3,151,158,10.1007/BF00031920,
312,312,,"HORNE, MT; DUNSON, WA","THE INTERACTIVE EFFECTS OF LOW PH, TOXIC METALS, AND DOC ON A SIMULATED TEMPORARY POND COMMUNITY",ENVIRONMENTAL POLLUTION,1995,89,2,155,161,10.1016/0269-7491(94)00057-K,
313,313,,"CARPENTER, A","POPULATION BIOLOGY OF THE FRESH-WATER SHRIMP PARATYA-CURVIROSTRIS (HELLER, 1862) (DECAPODA, ATYIDAE)",NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,1983,17,2,147,158,10.1080/00288330.1983.9515992,
314,314,,"HALLEGRAEFF, GM",COMPARISON OF DIFFERENT METHODS USED FOR QUANTITATIVE-EVALUATION OF BIOMASS OF FRESHWATER PHYTOPLANKTON,HYDROBIOLOGIA,1977,55,2,145,165,10.1007/BF00021056,
315,315,,"Tian, W; Zhang, HY; Wang, ZY; Tian, YL; Huang, TS","Analysis on the stability of plankton in a food web with empirical organism body mass distribution (Oct, 10.1007/s11356-022-23696-0, 2022)",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2023,30,8,21344,21344,10.1007/s11356-022-24030-4,
316,316,,"DAVEY, MC",THE EFFECTS OF NUTRIENT DEPLETION ON THE SINKING VELOCITY AND CELLULAR COMPOSITION OF A FRESH-WATER DIATOM,ARCHIV FUR HYDROBIOLOGIE,1988,112,3,321,334,,
