source.code,authors,year,title,publication,volume,issue,start.page,end.page,doi,ISSN,eISSN,ISBN
158,"Kasalicky, V; Jezbera, J; Simek, K; Hahn, MW",2010,"limnohabitans planktonicus sp nov and limnohabitans parvus sp nov., planktonic betaproteobacteria isolated from a freshwater reservoir, and emended description of the genus limnohabitans",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,60,NA,2710,2714,10.1099/ijs.0.018952-0,1466-5026,1466-5034,NA
159,"Mano, H; Sakamoto, M; Tanaka, Y",2010,a comparative study of insecticide toxicity among seven cladoceran species,ECOTOXICOLOGY,19,8,1620,1625,10.1007/s10646-010-0547-3,0963-9292,1573-3017,NA
160,"Yin, XW; Liu, PF; Zhu, SS; Chen, XX",2010,food selectivity of the herbivore daphnia magna (cladocera) and its impact on competition outcome between two freshwater green algae,HYDROBIOLOGIA,655,1,15,23,10.1007/s10750-010-0399-0,0018-8158,1573-5117,NA
161,"Rojo, C; Salazar, G",2010,why are there so many kinds of planktonic consumers? the answer lies in the allometric diet breadth,HYDROBIOLOGIA,653,1,91,102,10.1007/s10750-010-0346-0,0018-8158,NA,NA
162,"Hahn, MW; Kasalicky, V; Jezbera, J; Brandt, U; Jezberová, J; Simek, K",2010,"limnohabitans curvus gen. nov., sp nov., a planktonic bacterium isolated from a freshwater lake",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,60,NA,1358,1365,10.1099/ijs.0.013292-0,1466-5026,NA,NA
163,"Sakamoto, M; Hanazato, T; Tanaka, Y",2009,"impact of an insecticide on persistence of inherent antipredator morphology of a small cladoceran, bosmina",ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,57,1,68,76,10.1007/s00244-008-9247-x,0090-4341,1432-0703,NA
164,"Ki, JS; Cho, SY; Katano, T; Jung, SW; Lee, J; Park, BS; Kang, SH; Han, MS",2009,"comprehensive comparisons of three pennate diatoms, diatoma tenuae, fragilaria vaucheriae, and navicula pelliculosa, isolated from summer arctic reservoirs (svalbard 79a°n), by fine-scale morphology and nuclear 18s ribosomal dna",POLAR BIOLOGY,32,2,147,159,10.1007/s00300-008-0514-0,0722-4060,1432-2056,NA
166,"Matthews, B; Mazumder, A",2008,detecting trophic-level variation in consumer assemblages,FRESHWATER BIOLOGY,53,10,1942,1953,10.1111/j.1365-2427.2008.02018.x,0046-5070,NA,NA
167,"Rowe, CL; Adamowicz, SJ; Hebert, PDN",2007,"three new cryptic species of the freshwater zooplankton genus holopedium (crustacea: branchiopoda: ctenopoda), revealed by genetic methods",ZOOTAXA,NA,1656,1,49,10.11646/zootaxa.1656.1.1,1175-5326,1175-5334,NA
168,"Sigee, DC; Bahram, F; Estrada, B; Webster, RE; Dean, AP",2007,the influence of phosphorus availability on carbon allocation and p quota in scenedesmus subspicatus:: a synchrotron-based ftir analysis,PHYCOLOGIA,46,5,583,592,10.2216/07-14.1,0031-8884,NA,NA
169,"Pannard, A; Bormans, M; Lefebvre, S; Claquin, P; Lagadeuc, Y",2007,phytoplankton size distribution and community structure: influence of nutrient input and sedimentary loss,JOURNAL OF PLANKTON RESEARCH,29,7,583,598,10.1093/plankt/fbm040,0142-7873,1464-3774,NA
170,"Jezberová, J; Komárková, J",2007,morphometry and growth of three synechococcus-like picoplanktic cyanobacteria at different culture conditions,HYDROBIOLOGIA,578,1,17,27,10.1007/s10750-006-0429-0,0018-8158,1573-5117,NA
171,"Bittencourt-Oliveira, MD; Moura, AD; Gouvea-Barros, S; Pinto, E",2007,"hip1 dna fingerprinting in microcystis panniformis (chroococcales, cyanobacteria)",PHYCOLOGIA,46,1,3,9,10.2216/06-01.1,0031-8884,NA,NA
172,"Weisse, T; Stadler, P",2006,"effect of ph on growth, cell volume, and production of freshwater ciliates, and implications for their distribution",LIMNOLOGY AND OCEANOGRAPHY,51,4,1708,1715,10.4319/lo.2006.51.4.1708,0024-3590,NA,NA
173,"Passarge, J; Hol, S; Escher, M; Huisman, J",2006,"competition for nutrients and light: stable coexistence, alternative stable states, or competitive exclusion?",ECOLOGICAL MONOGRAPHS,76,1,57,72,10.1890/04-1824,0012-9615,1557-7015,NA
174,"Kuczynska-Kippen, N",2005,"on body size and habitat selection in rotifers in a macrophye-dominated lake budzynskie, poland",AQUATIC ECOLOGY,39,4,447,454,10.1007/s10452-005-9003-5,1386-2588,1573-5125,NA
602,"Hawkins, PR; Holliday, J; Kathuria, A; Bowling, L",2005,change in cyanobacterial biovolume due to preservation by lugol's iodine,HARMFUL ALGAE,4,6,1033,1043,10.1016/j.hal.2005.03.001,1568-9883,1878-1470,NA
176,"Jankowski, T; Strauss, T; Ratte, HT",2005,trophic interactions of the freshwater jellyfish craspedacusta sowerbii,JOURNAL OF PLANKTON RESEARCH,27,8,811,823,10.1093/plankt/fbi055,0142-7873,NA,NA
177,"Peña-Castro, JM; Martínez-Jerónimo, F; Esparza-García, F; Cañizares-Villanueva, RO",2004,phenotypic plasticity in scenedesmus incrassatulus (chlorophyceae) in response to heavy metals stress,CHEMOSPHERE,57,11,1629,1636,10.1016/j.chemosphere.2004.06.041,0045-6535,1879-1298,NA
178,"Boenigk, J; Stadler, P; Wiedlroither, A; Hahn, MW",2004,strain-specific differences in the grazing sensitivities of closely related ultramicrobacteria affiliated with the polynucleobacter cluster,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,70,10,5787,5793,10.1128/AEM.70.10.5787-5793.2004,0099-2240,NA,NA
179,"Mueller, CR; Eversole, AG; Turker, H; Brune, DE",2004,effect of silver carp hypophthalmichthys molitrix and freshwater mussel elliptio complanata filtration on the phytoplankton community of partitioned aquaculture system units,JOURNAL OF THE WORLD AQUACULTURE SOCIETY,35,3,372,382,10.1111/j.1749-7345.2004.tb00101.x,0893-8849,NA,NA
180,"Carotenuto, Y; Lampert, W",2004,ingestion and incorporation of freshwater diatoms by daphnia pulicaria:: do morphology and oxylipin production matter?,JOURNAL OF PLANKTON RESEARCH,26,5,563,569,10.1093/plankt/fbh053,0142-7873,1464-3774,NA
181,"Lemke, AM; Stoeckel, JA; Pegg, MA",2003,utilization of the exotic cladoceran daphnia lumholtzi by juvenile fishes in an illinois river floodplain lake,JOURNAL OF FISH BIOLOGY,62,4,938,954,10.1046/j.1095-8649.2003.00090.x,0022-1112,1095-8649,NA
182,"Mages, M; Woelfl, S; von Tümpling, W",2001,a method for trace element determination of single daphnia specimens using total reflection x-ray fluorescence spectrometry,SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY,56,11,2209,2217,10.1016/S0584-8547(01)00325-1,0584-8547,NA,NA
183,"Jahan, N; Alam, MGM; Sugiura, N; Norman, CP; Maekawa, T",2001,seasonal variation in frequency of dividing cells of freshwater phytoplankters,ENVIRONMENTAL TECHNOLOGY,22,4,429,438,10.1080/09593332208618267,0959-3330,1479-487X,NA
184,"Gosselain, V; Hamilton, PB; Descy, JP",2000,estimating phytoplankton carbon from microscopic counts: an application for riverine systems,HYDROBIOLOGIA,438,1-3,75,90,10.1023/A:1004161928957,0018-8158,1573-5117,NA
185,"Cecchine, G; Snell, TW",1999,toxicant exposure increases threshold food levels in freshwater rotifer populations,ENVIRONMENTAL TOXICOLOGY,14,5,523,530,10.1002/(SICI)1522-7278(199912)14:5<523::AID-TOX6>3.0.CO;2-2,1520-4081,NA,NA
187,"Dudycha, JL; Tessier, AJ",1999,"natural genetic variation of life span, reproduction, and juvenile growth in daphnia",EVOLUTION,53,6,1744,1756,10.1111/j.1558-5646.1999.tb04559.x,0014-3820,1558-5646,NA
188,"Pfister, G; Sonntag, B; Posch, T",1999,comparison of a direct live count and an improved quantitative protargol stain (qps) in determining abundance and cell volumes of pelagic freshwater protozoa,AQUATIC MICROBIAL ECOLOGY,18,1,95,103,10.3354/ame018095,0948-3055,1616-1564,NA
189,"Twombly, S; Clancy, N; Burns, CW",1998,life history consequences of food quality in the freshwater copepod boeckella triarticulata,ECOLOGY,79,5,1711,1724,10.1890/0012-9658(1998)079[1711:LHCOFQ]2.0.CO;2,0012-9658,1939-9170,NA
617,"Kawabata, K; Urabe, J",1998,length-weight relationships of eight freshwater planktonic crustacean species in japan,FRESHWATER BIOLOGY,39,2,199,205,10.1046/j.1365-2427.1998.00267.x,0046-5070,1365-2427,NA
190,"Ryan, SM; Dodson, SI",1998,seasonal analysis of daphnia pulicaria swimming behavior,HYDROBIOLOGIA,384,NA,111,118,10.1023/A:1003295210747,0018-8158,NA,NA
191,"Telesh, IV; Rahkola, M; Viljanen, M",1998,carbon content of some freshwater rotifers,HYDROBIOLOGIA,387,NA,355,360,10.1023/A:1017092021816,0018-8158,NA,NA
192,"Weisse, T; Kirchhoff, B",1997,feeding of the heterotrophic freshwater dinoflagellate peridiniopsis berolinense on cryptophytes: analysis by flow cytometry and electronic particle counting,AQUATIC MICROBIAL ECOLOGY,12,2,153,164,10.3354/ame012153,0948-3055,1616-1564,NA
193,"Macek, M; Simek, K; Pernthaler, J; Vyhnalek, V; Psenner, R",1996,growth rates of dominant planktonic ciliates in two freshwater bodies of different trophic degree,JOURNAL OF PLANKTON RESEARCH,18,4,463,481,10.1093/plankt/18.4.463,0142-7873,1464-3774,NA
194,"HART, RC; JARVIS, AC",1993,insitu determinations of bacterial selectivity and filtration-rates by 5 cladoceran zooplankters in a hypertrophic subtropical reservoir,JOURNAL OF PLANKTON RESEARCH,15,3,295,315,10.1093/plankt/15.3.295,0142-7873,NA,NA
195,"MULLER, H; GELLER, W",1993,maximum growth-rates of aquatic ciliated protozoa - the dependence on body size and temperature reconsidered,ARCHIV FUR HYDROBIOLOGIE,126,3,315,327,10.1127/archiv-hydrobiol/126/1993/315,0003-9136,NA,NA
197,"VAQUE, D; PACE, ML",1992,grazing on bacteria by flagellates and cladocerans in lakes of contrasting food-web structure,JOURNAL OF PLANKTON RESEARCH,14,2,307,321,10.1093/plankt/14.2.307,0142-7873,1464-3774,NA
198,"SHERR, EB; SHERR, BF; BERMAN, T; HADAS, O",1991,"high abundance of picoplankton-ingesting ciliates during late fall in lake kinneret, israel",JOURNAL OF PLANKTON RESEARCH,13,4,789,799,10.1093/plankt/13.4.789,0142-7873,1464-3774,NA
199,"MACISAAC, HJ; GILBERT, JJ",1991,discrimination between exploitative and interference competition between cladocera and keratella-cochlearis,ECOLOGY,72,3,924,937,10.2307/1940594,0012-9658,1939-9170,NA
200,"CHOWFRASER, P; MALY, EJ",1991,"factors governing clutch size in 2 species of diaptomus (copepoda, calanoida)",CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,48,3,364,370,10.1139/f91-048,0706-652X,NA,NA
201,"GIANI, A",1991,implications of phytoplankton chemical-composition for zooplankton production - experimental-evidence,OECOLOGIA,87,3,409,416,10.1007/BF00634599,0029-8549,NA,NA
202,"ROCHA, O; DUNCAN, A",1985,the relationship between cell carbon and cell-volume in fresh-water algal species used in zooplanktonic studies,JOURNAL OF PLANKTON RESEARCH,7,2,279,294,10.1093/plankt/7.2.279,0142-7873,1464-3774,NA
203,"SMITH, REH; KALFF, J",1983,competition for phosphorus among co-occurring fresh-water phytoplankton,LIMNOLOGY AND OCEANOGRAPHY,28,3,448,464,10.4319/lo.1983.28.3.0448,0024-3590,1939-5590,NA
204,"Weisse, T",2024,"physiological mortality of planktonic ciliates: estimates, causes, and consequences",LIMNOLOGY AND OCEANOGRAPHY,69,3,524,532,10.1002/lno.12503,0024-3590,1939-5590,NA
205,"Denys, L; De Smet, WH",2023,"diversity, composition and environmental relations of periphytic rotifer assemblages in lentic freshwater bodies (flanders, lower belgium)",DIVERSITY-BASEL,15,12,NA,NA,10.3390/d15121214,NA,1424-2818,NA
206,"Bautista-Regil, J; Sánchez, AJ; Salcedo, MA; Arredondo-Vega, BO; Ruiz-Carrera, V",2023,lipid prospection based on the cellular size of phytoplankton communities from tropical freshwater ecosystems: a systematic literature review,WATER,15,21,NA,NA,10.3390/w15213774,NA,2073-4441,NA
208,"Santangeli, A; Weigel, B; Anto, LH; Kaarlejärvi, E; Hällfors, M; Lehikoinen, A; Lindén, A; Salemaa, M; Tonteri, T; Merilä, P; Vuorio, K; Ovaskainen, O; Vanhatalo, J; Roslin, T; Saastamoinen, M",2023,mixed effects of a national protected area network on terrestrial and freshwater biodiversity,NATURE COMMUNICATIONS,14,1,NA,NA,10.1038/s41467-023-41073-4,NA,2041-1723,NA
209,"Tóth, F; Zsuga, K; Kerepeczki, E; Kovács, B; Magura, T; Körmöczi, L; Lövei, GL",2023,discordant spatiotemporal dynamics of functional and phylogenetic diversity of rotiferan communities exposed to aquaculture effluent,ECOLOGY AND EVOLUTION,13,9,NA,NA,10.1002/ece3.10503,2045-7758,NA,NA
210,"Zhu, YM; Qi, QS; Lu, XX; Fan, YW; Liu, Y; Tan, X",2023,local environmental variables outperform spatial and land use pattern in the maintenance and assembly of phytoplankton communities in the wetland cluster,JOURNAL OF CLEANER PRODUCTION,419,NA,NA,NA,10.1016/j.jclepro.2023.138275,0959-6526,1879-1786,NA
623,"Weigel, B; Kotamäki, N; Malve, O; Vuorio, K; Ovaskainen, O",2023,macrosystem community change in lake phytoplankton and its implications for diversity and function,GLOBAL ECOLOGY AND BIOGEOGRAPHY,32,2,295,309,10.1111/geb.13626,1466-822X,1466-8238,NA
211,"Ben Othman, H; Pick, FR; Hlaili, AS; Leboulanger, C",2023,effects of polycyclic aromatic hydrocarbons on marine and freshwater microalgae - a review,JOURNAL OF HAZARDOUS MATERIALS,441,NA,NA,NA,10.1016/j.jhazmat.2022.129869,0304-3894,1873-3336,NA
212,"Gu, YB; Liu, ZH; Li, JS; Meng, DL; Yuan, HJ; Zhang, M; Zhang, HT; Yin, HQ; Cong, J; Xiao, NW",2022,"body size as key trait determining aquatic metacommunity assemblies in benthonic and planktonic habitats of dongting lake, china",ECOLOGICAL INDICATORS,143,NA,NA,NA,10.1016/j.ecolind.2022.109355,1470-160X,1872-7034,NA
213,"Paquette, C; Griffiths, K; Gregory-Eaves, I; Beisner, BE",2022,zooplankton assemblage structure and diversity since pre-industrial times in relation to land use,GLOBAL ECOLOGY AND BIOGEOGRAPHY,31,11,2337,2352,10.1111/geb.13575,1466-822X,1466-8238,NA
214,"Lu, XT; Weisse, T",2022,top-down control of planktonic ciliates by microcrustacean predators is stronger in lakes than in the ocean,SCIENTIFIC REPORTS,12,1,NA,NA,10.1038/s41598-022-14301-y,2045-2322,NA,NA
215,"Krzton, W; Kosiba, J; Wilk-Wozniak, E",2022,features that matter: studying how phytoplankton drives zooplankton community functional traits,HYDROBIOLOGIA,849,12,2647,2662,10.1007/s10750-022-04863-3,0018-8158,1573-5117,NA
216,"Vagnon, C; Cattanéo, F; Goulon, C; Grimardias, D; Guillard, J; Frossard, V",2021,an allometric niche model for species interactions in temperate freshwater ecosystems,ECOSPHERE,12,3,NA,NA,10.1002/ecs2.3420,2150-8925,NA,NA
613,"Borics, G; Lerf, V; T-Krasznai, E; Stankovic, I; Pickó, L; Béres, V; Várbíró, G",2021,"biovolume and surface area calculations for microalgae, using realistic 3d models",SCIENCE OF THE TOTAL ENVIRONMENT,773,NA,NA,NA,10.1016/j.scitotenv.2021.145538,0048-9697,1879-1026,NA
219,"Loewen, CJG; Vinebrooke, RD; Zurawell, RW",2021,quantifying seasonal succession of phytoplankton trait-environment associations in human-altered landscapes,LIMNOLOGY AND OCEANOGRAPHY,66,4,1409,1423,10.1002/lno.11694,0024-3590,1939-5590,NA
220,"Gutierrez, MF; Simoes, NR; Frau, D; Saigo, M; Licursi, M",2020,responses of stream zooplankton diversity metrics to eutrophication and temporal environmental variability in agricultural catchments,ENVIRONMENTAL MONITORING AND ASSESSMENT,192,12,NA,NA,10.1007/s10661-020-08766-5,0167-6369,1573-2959,NA
221,"Braghin, LDM; Dias, JD; Simoes, NR; Bonecker, CC",2020,"food availability, depth, and turbidity drive zooplankton functional diversity over time in a neotropical floodplain",AQUATIC SCIENCES,83,1,NA,NA,10.1007/s00027-020-00763-7,1015-1621,1420-9055,NA
222,"Alcantara, I; Piccini, CB; Segura, AM; Deus, S; González, C; de la Escalera, GM; Kruk, C",2018,improved biovolume estimation of microcystis aeruginosa colonies: a statistical approach,JOURNAL OF MICROBIOLOGICAL METHODS,151,NA,20,27,10.1016/j.mimet.2018.05.021,0167-7012,1872-8359,NA
223,"Bestová, H; Munoz, F; Svoboda, P; Skaloud, P; Violle, C",2018,ecological and biogeographical drivers of freshwater green algae biodiversity: from local communities to large-scale species pools of desmids,OECOLOGIA,186,4,1017,1030,10.1007/s00442-018-4074-x,0029-8549,1432-1939,NA
224,"Lokko, K; Virro, T; Kotta, J",2017,seasonal variability in the structure and functional diversity of psammic rotifer communities: role of environmental parameters,HYDROBIOLOGIA,796,1,287,307,10.1007/s10750-016-2923-3,0018-8158,1573-5117,NA
225,"Horne, CR; Hirst, AG; Atkinson, D; Neves, A; Kiorboe, T",2016,a global synthesis of seasonal temperature-size responses in copepods,GLOBAL ECOLOGY AND BIOGEOGRAPHY,25,8,988,999,10.1111/geb.12460,1466-822X,1466-8238,NA
226,"Kalinoski, RM; DeLong, JP",2016,beyond body mass: how prey traits improve predictions of functional response parameters,OECOLOGIA,180,2,543,550,10.1007/s00442-015-3487-z,0029-8549,1432-1939,NA
227,"Kistenich, S; Dressler, M; Zimmermann, J; Hübener, T; Bastrop, R; Jahn, R",2014,an investigation into the morphology and genetics of cyclotella comensis and closely related taxa,DIATOM RESEARCH,29,4,423,440,10.1080/0269249X.2014.922125,0269-249X,2159-8347,NA
229,"Nakov, T; Theriot, EC; Alverson, AJ",2014,using phylogeny to model cell size evolution in marine and freshwater diatoms,LIMNOLOGY AND OCEANOGRAPHY,59,1,79,86,10.4319/lo.2014.59.1.0079,0024-3590,1939-5590,NA
230,"Sastri, AR; Juneau, P; Beisner, BE",2013,evaluation of chitobiase-based estimates of biomass and production rates for developing freshwater crustacean zooplankton communities,JOURNAL OF PLANKTON RESEARCH,35,2,407,420,10.1093/plankt/fbs104,0142-7873,1464-3774,NA
231,"Schwaderer, AS; Yoshiyama, K; Pinto, PT; Swenson, NG; Klausmeier, CA; Litchman, E",2011,eco-evolutionary differences in light utilization traits and distributions of freshwater phytoplankton,LIMNOLOGY AND OCEANOGRAPHY,56,2,589,598,10.4319/lo.2011.56.2.0589,0024-3590,1939-5590,NA
232,"Bruggeman, J",2011,a phylogenetic approach to the estimation of phytoplankton traits,JOURNAL OF PHYCOLOGY,47,1,52,65,10.1111/j.1529-8817.2010.00946.x,0022-3646,1529-8817,NA
603,"Barnett, AJ; Finlay, K; Beisner, BE",2007,functional diversity of crustacean zooplankton communities: towards a trait-based classification,FRESHWATER BIOLOGY,52,5,796,813,10.1111/j.1365-2427.2007.01733.x,0046-5070,1365-2427,NA
233,"MalinskyRushansky, NZ; Legrand, C",1996,excretion of dissolved organic carbon by phytoplankton of different sizes and subsequent bacterial uptake,MARINE ECOLOGY PROGRESS SERIES,132,1-3,249,255,10.3354/meps132249,0171-8630,NA,NA
234,"KOIVISTO, S",1995,is daphnia-magna an ecologically representative zooplankton species in toxicity tests,ENVIRONMENTAL POLLUTION,90,2,263,267,10.1016/0269-7491(95)00029-Q,0269-7491,NA,NA
235,"CHOWFRASER, P; SPRULES, WG",1992,"type-3 functional-response in limnetic suspension-feeders, as demonstrated by insitu grazing rates",HYDROBIOLOGIA,232,3,175,191,10.1007/BF00013703,0018-8158,NA,NA
236,"HART, RC",1990,"copepod postembryonic durations - pattern, conformity, and predictability - the realities of isochronal and equiproportional development, and trends in the copepodid-naupliar duration ratio",HYDROBIOLOGIA,206,3,175,206,10.1007/BF00014085,0018-8158,NA,NA
237,"Huynh, TH; Horváth, Z; Pálffy, K; Kardos, V; Szabó, B; Dobosy, P; Vad, CF",2024,heatwave-induced functional shifts in zooplankton communities result in weaker top-down control on phytoplankton,ECOLOGY AND EVOLUTION,14,8,NA,NA,10.1002/ece3.70096,2045-7758,NA,NA
239,"Diel, P; Kiene, M; Laforsch, C",2024,variation in defensive spines across juvenile instars of daphnia magna,JOURNAL OF PLANKTON RESEARCH,46,4,452,458,10.1093/plankt/fbae033,0142-7873,1464-3774,NA
240,"Gurung, A; Mukherjee, S; Declercq, M; Souffreau, C; De Meester, L",2024,strain-dependent and host genotype-dependent priority effects in gut microbiome assembly affect host fitness in daphnia,LIMNOLOGY AND OCEANOGRAPHY,NA,NA,NA,NA,10.1002/lno.12614,0024-3590,1939-5590,NA
241,"Kiene, M; Schott, M; Martin-Creuzburg, D; Laforsch, C",2024,food quantity and quality modulates inducible defenses in a common predator-prey system,LIMNOLOGY AND OCEANOGRAPHY,69,7,1535,1546,10.1002/lno.12595,0024-3590,1939-5590,NA
242,"Ikeda, T",2013,synthesis towards a global-bathymetric model of metabolism and chemical composition of mysid crustaceans,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,445,NA,79,87,10.1016/j.jembe.2013.04.001,0022-0981,1879-1697,NA
243,"CARPENTER, A",1983,"population biology of the fresh-water shrimp paratya-curvirostris (heller, 1862) (decapoda, atyidae)",NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,17,2,147,158,10.1080/00288330.1983.9515992,0028-8330,1175-8805,NA
244,"HALLEGRAEFF, GM",1977,comparison of different methods used for quantitative-evaluation of biomass of freshwater phytoplankton,HYDROBIOLOGIA,55,2,145,165,10.1007/BF00021056,0018-8158,1573-5117,NA
245,"Tian, W; Zhang, HY; Wang, ZY; Tian, YL; Huang, TS",2023,"analysis on the stability of plankton in a food web with empirical organism body mass distribution (oct, 10.1007/s11356-022-23696-0, 2022)",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,30,8,21344,21344,10.1007/s11356-022-23696-0,0944-1344,1614-7499,NA
246,"Robinson, A; Bouman, HA; Tilstone, GH; Sathyendranath, S",2018,size class dependent relationships between temperature and phytoplankton photosynthesis-irradiance parameters in the atlantic ocean,FRONTIERS IN MARINE SCIENCE,4,NA,NA,NA,10.3389/fmars.2017.00435,NA,2296-7745,NA
247,"Xiao, M; Li, M; Reynolds, CS",2018,colony formation in the cyanobacterium microcystis,BIOLOGICAL REVIEWS,93,3,1399,1420,10.1111/brv.12401,1464-7931,1469-185X,NA
248,"Liu, CQ; Shi, XL; Wu, F; Ren, MD; Gao, G; Wu, QL",2020,genome analyses provide insights into the evolution and adaptation of the eukaryotic picophytoplanktonmychonastes homosphaera,BMC GENOMICS,21,1,NA,NA,10.1186/s12864-020-06891-6,1471-2164,NA,NA
250,"Maraslioglu, F; Öterler, B; Sevindik, TO; Soylu, EN; Demir, N; Çelekli, A; Sömek, H; Coskun, T; Solak, CN; Çetin, T; Karaaslan, Y; Temizel, B; Koca, M; Güzel, U; Tunca, H; Manavoglu, DC; Yilmaz, E",2022,"new records for the turkish freshwater algal flora in twenty-five river basins of turkey, part ii: chlorophyta, cyanobacteria, euglenozoa",TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES,22,8,NA,NA,10.4194/TRJFAS19319,1303-2712,2149-181X,NA
251,"Komárek, J; Anagnostidis, K",1995,nomenclatural novelties in chroococcalean cyanoprokaryotes,Preslia,67,1,15,23,NA,0032-7786,NA,NA
252,"Kim, YJ",2013,"taxonomic and ecological study of the families hydrodictyaceae and coelastraceae, order chlorococcales, and class chlorophyceae in korea",Journal of Ecology and Environment,36,4,421,437,10.5141/ecoenv.2013.421,2288-1220,NA,NA
253,"Skaloud, P; Skaloudová, M; Procházková, A; Nemcová, Y",2014,"morphological delineation and distribution patterns of four newly described species within the synura petersenii species complex (chrysophyceae, stramenopiles)",EUROPEAN JOURNAL OF PHYCOLOGY,49,2,213,229,10.1080/09670262.2014.905710,0967-0262,1469-4433,NA
254,"Lin, S; Gobler, CJ; Carpenter, EJ",2001,"cytological and biochemical responses of dunaliella tertiolecta (volvocales, chlorophyta) to iron stress",PHYCOLOGIA,40,5,403,410,10.2216/i0031-8884-40-5-403.1,0031-8884,NA,NA
255,"Shiraishi, H",2016,cryopreservation of the edible alkalophilic cyanobacterium arthrospira platensis,BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,80,10,2051,2057,10.1080/09168451.2016.1189320,0916-8451,1347-6947,NA
256,"Lizzul, AM; Lekuona-Amundarain, A; Purton, S; Campos, LC",2018,"characterization of chlorella sorokiniana, utex 1230",BIOLOGY-BASEL,7,2,NA,NA,10.3390/biology7020025,NA,2079-7737,NA
257,"Engel, BD; Schaffer, M; Cuellar, LK; Villa, E; Plitzko, JM; Baumeister, W",2015,native architecture of the chlamydomonas chloroplast revealed by in situ cryo-electron tomography,ELIFE,4,NA,NA,NA,10.7554/eLife.04889,2050-084X,NA,NA
258,"Vander Wiel, JB; Mikulicz, JD; Boysen, MR; Hashemi, N; Kalgren, P; Nauman, LM; Baetzold, SJ; Powell, GG; He, Q; Hashemi, NN",2017,characterization of chlorella vulgaris and chlorella protothecoides using multi-pixel photon counters in a 3d focusing optofluidic system,RSC ADVANCES,7,8,4402,4408,10.1039/c6ra25837a,NA,2046-2069,NA
259,"Moestrup, O; Hansen, G; Daugbjerg, N",2008,"studies on woloszynskioid dinoflageflates iii:: on the ultrastructure and phylogeny of borghiella dodgei gen. et sp nov., a cold-water species from lake tovel, n. italy, and on b-tenuissima comb. nov (syn. woloszynskia tenuissima)",PHYCOLOGIA,47,1,54,78,10.2216/07-32.1,0031-8884,2330-2968,NA
261,"Zielinski, R",1975,motility in scenedesmus quadricauda,Student Work,NA,NA,NA,NA,NA,NA,NA,NA
262,"Bancsi, I",1988,identification keys for rotifera ii. vízügyi hidrobiológia,Országos Vízügyi Hivatal,NA,NA,NA,NA,NA,NA,NA,NA
614,Finnish Environment Institute (SYKE),2017,finnish national phytoplankton monitoring database,Finnish Environment Institute (SYKE),NA,NA,NA,NA,NA,NA,NA,NA
263,"Ben Othman, H; Leboulanger, C; Le Floc'h, E; Mabrouk, HH; Hlaili, AS",2012,toxicity of benz(a)anthracene and fluoranthene to marine phytoplankton in culture: does cell size really matter?,JOURNAL OF HAZARDOUS MATERIALS,243,NA,204,211,10.1016/j.jhazmat.2012.10.020,0304-3894,1873-3336,NA
612,"Olenina, I; Hajdu, S; Edler, L; Andersson, A;  Wasmund, N; Busch, S; Göbel, J; Gromisz, S; Huseby, S; Huttunen, M;  Jaanus, A; Kokkonen, P; Ledaine, I;  Niemkiewicz, E",2006,biovolumes and size-classes of phytoplankton in the baltic sea,HELCOM,NA,NA,114,NA,NA,NA,NA,NA
264,"Özhan, K; Miles, SM; Gao, H; Bargu, S",2014,relative phytoplankton growth responses to physically and chemically dispersed south louisiana sweet crude oil,ENVIRONMENTAL MONITORING AND ASSESSMENT,186,6,3941,3956,10.1007/s10661-014-3670-4,0167-6369,1573-2959,NA
265,"Machado, MD; Soares, EV",2021,toxicological effects induced by the biocide triclosan on pseudokirchneriella subcapitata,AQUATIC TOXICOLOGY,230,NA,NA,NA,10.1016/j.aquatox.2020.105706,0166-445X,1879-1514,NA
266,"Iummato, MM; Fassiano, A; Graziano, M; Afonso, MD; de Molina, MDR; Juárez, AB",2019,"effect of glyphosate on the growth, morphology, ultrastructure and metabolism of scenedesmus vacuolatus",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,172,NA,471,479,10.1016/j.ecoenv.2019.01.083,0147-6513,1090-2414,NA
268,"Urbani, R; Magaletti, E; Sist, P; Cicero, AM",2005,"extracellular carbohydrates released by the marine diatoms cylindrotheca closterium, thalassiosira pseudonana and skeletonema costatum:: effect of p-depletion and growth status",SCIENCE OF THE TOTAL ENVIRONMENT,353,1-3,300,306,10.1016/j.scitotenv.2005.09.026,0048-9697,NA,NA
