source,authors,year,title,doi,page,volume,issue
"Lasenby, D.C. and Langford, R.R. (1972) ‘Growth, Life History, and Respiration of Mysis relicta in an Arctic and Temperate Lake’, Journal of the Fisheries Research Board of Canada, 29(12), pp. 1701–1708. Available at: https://doi.org/10.1139/f72-270.","Lasenby, D.C. and Langford, R.R. ",1972,"Growth, Life History, and Respiration of Mysis relicta in an Arctic and Temperate Lake",10.1139/f72-270,1701–1708,29,(12)
"Lavoie, I. et al. (2006) ‘Diatoms and biomonitoring: should cell size be accounted for?’, Hydrobiologia, 573(1), pp. 1–16. Available at: https://doi.org/10.1007/s10750-006-0223-z.","Lavoie, I. et al. ",2006,Diatoms and biomonitoring: should cell size be accounted for?,10.1007/s10750-006-0223-z,1–16,573,(1)
"Lawrence, S.G. et al. (1987) ‘Method for Estimating Dry Weight of Freshwater Planktonic Crustaceans from Measures of Length and Shape’, Canadian Journal of Fisheries and Aquatic Sciences, 44(S1), pp. s264–s274. Available at: https://doi.org/10.1139/f87-301.","Lawrence, S.G. et al. ",1987,Method for Estimating Dry Weight of Freshwater Planktonic Crustaceans from Measures of Length and Shape,10.1139/f87-301,s264–s274,44,NA
"Leander, B.S. et al. (2003) ‘Molecular Phylogeny and Surface Morphology of Colpodella edax (Alveolata): Insights into the Phagotrophic Ancestry of Apicomplexans’, Journal of Eukaryotic Microbiology, 50(5), pp. 334–340. Available at: https://doi.org/10.1111/j.1550-7408.2003.tb00145.x.","Leander, B.S. et al. ",2003,Molecular Phylogeny and Surface Morphology of Colpodella edax (Alveolata): Insights into the Phagotrophic Ancestry of Apicomplexans,10.1111/j.1550-7408.2003.tb00145.x,334–340,50,(5)
"Leander, B.S. et al. (2006) ‘Phylogeny of Marine Gregarines (Apicomplexa) — Pterospora, Lithocystis and Lankesteria — and the Origin(s) of Coelomic Parasitism’, Protist, 157(1), pp. 45–60. Available at: https://doi.org/10.1016/j.protis.2005.10.002.","Leander, B.S. et al. ",2006,"Phylogeny of Marine Gregarines (Apicomplexa) — Pterospora, Lithocystis and Lankesteria — and the Origin(s) of Coelomic Parasitism",10.1016/j.protis.2005.10.002,45–60,157,(1)
"Leander, B.S. (2008) ‘Marine gregarines: evolutionary prelude to the apicomplexan radiation?’, Trends in Parasitology, 24(2), pp. 60–67. Available at: https://doi.org/10.1016/j.pt.2007.11.005.","Leander, B.S. ",2008,Marine gregarines: evolutionary prelude to the apicomplexan radiation?,10.1016/j.pt.2007.11.005,60–67,24,(2)
"Leander, B.S. and Hoppenrath, M. (2008) ‘Ultrastructure of a novel tube-forming, intracellular parasite of dinoflagellates: Parvilucifera prorocentri sp. nov. (Alveolata, Myzozoa)’, European Journal of Protistology, 44(1), pp. 55–70. Available at: https://doi.org/10.1016/j.ejop.2007.08.004.","Leander, B.S. and Hoppenrath, M. ",2008,"Ultrastructure of a novel tube-forming, intracellular parasite of dinoflagellates: Parvilucifera prorocentri sp. nov. (Alveolata, Myzozoa)",10.1016/j.ejop.2007.08.004,55–70,44,(1)
"Leblanc, K. et al. (2012) ‘A global diatom database – abundance, biovolume and biomass in the world ocean’, Earth System Science Data, 4(1), pp. 149–165. Available at: https://doi.org/10.5194/essd-4-149-2012.","Leblanc, K. et al. ",2012,"A global diatom database – abundance, biovolume and biomass in the world ocean",10.5194/essd-4-149-2012,149–165,4,(1)
"Lechat, C., Fournier, J. and Gasch, A. (2020) ‘Clonostachys moreaui (Hypocreales, Bionectriaceae), a new species from the island of Madeira (Portugal)’, p. 573 kB. Available at: https://doi.org/10.25664/ART-0295.","Lechat, C., Fournier, J. and Gasch, A. ",2020,"Clonostachys moreaui (Hypocreales, Bionectriaceae), a new species from the island of Madeira (Portugal)",10.25664/ART-0295,573 kB,NA,NA
"Lee, H.W. et al. (2015) ‘Confirmation of Two Undescribed Fungal Species from Dokdo of Korea Based on Current Classification System Using Multi Loci’, Mycobiology, 43(4), pp. 392–401. Available at: https://doi.org/10.5941/MYCO.2015.43.4.392.","Lee, H.W. et al. ",2015,Confirmation of Two Undescribed Fungal Species from Dokdo of Korea Based on Current Classification System Using Multi Loci,10.5941/MYCO.2015.43.4.392,392–401,43,(4)
"Leger, M.M. et al. (2016) ‘Novel Hydrogenosomes in the Microaerophilic Jakobid Stygiella incarcerata’, Molecular Biology and Evolution, 33(9), pp. 2318–2336. Available at: https://doi.org/10.1093/molbev/msw103.","Leger, M.M. et al. ",2016,Novel Hydrogenosomes in the Microaerophilic Jakobid Stygiella incarcerata,10.1093/molbev/msw103,2318–2336,33,(9)
"Lei, C.-H. and Armitage, K.B. (1980) ‘Growth, Development and Body Size of Field and Laboratory Populations of Daphnia Ambigua’, Oikos, 35(1), p. 31. Available at: https://doi.org/10.2307/3544724.","Lei, C.-H. and Armitage, K.B. ",1980,"Growth, Development and Body Size of Field and Laboratory Populations of Daphnia Ambigua",10.2307/3544724,31,35,(1)
"Leipe, D. (1989) ‘Prorodon spirogyrophagus nov. spec. (Ciliophora, Prostomatea): Morphology, infraciliature and food-uptake’, European Journal of Protistology, 24(4), pp. 392–401. Available at: https://doi.org/10.1016/S0932-4739(89)80009-4.","Leipe, D. ",1989,"Prorodon spirogyrophagus nov. spec. (Ciliophora, Prostomatea): Morphology, infraciliature and food-uptake",10.1016/S0932-4739(89)80009-4,392–401,24,(4)
"Leslie, J.F. et al. (2005) ‘Description of Gibberella sacchari and neotypification of its anamorph Fusarium sacchari’, Mycologia, 97(3), pp. 718–724. Available at: https://doi.org/10.1080/15572536.2006.11832801.","Leslie, J.F. et al. ",2005,Description of Gibberella sacchari and neotypification of its anamorph Fusarium sacchari,10.1080/15572536.2006.11832801,718–724,97,(3)
"Letcher, P.M., Powell, M.J. and Viusent, M.C. (2008) ‘Rediscovery of an unusual chytridiaceous fungus new to the order Rhizophydiales’, Mycologia, 100(2), pp. 325–334. Available at: https://doi.org/10.1080/15572536.2008.11832488.","Letcher, P.M., Powell, M.J. and Viusent, M.C. ",2008,Rediscovery of an unusual chytridiaceous fungus new to the order Rhizophydiales,10.1080/15572536.2008.11832488,325–334,100,(2)
"Letsch, M.R. et al. (2009) ‘ELLIPTOCHLORIS MARINA SP. NOV. (TREBOUXIOPHYCEAE, CHLOROPHYTA), SYMBIOTIC GREEN ALGA OF THE TEMPERATE PACIFIC SEA ANEMONES ANTHOPLEURA XANTHOGRAMMICA AND A. ELEGANTISSIMA (ANTHOZOA, CNIDARIA) 1’, Journal of Phycology, 45(5), pp. 1127–1135. Available at: https://doi.org/10.1111/j.1529-8817.2009.00727.x.","Letsch, M.R. et al. ",2009,"ELLIPTOCHLORIS MARINA SP. NOV. (TREBOUXIOPHYCEAE, CHLOROPHYTA), SYMBIOTIC GREEN ALGA OF THE TEMPERATE PACIFIC SEA ANEMONES ANTHOPLEURA XANTHOGRAMMICA AND A. ELEGANTISSIMA (ANTHOZOA, CNIDARIA) 1",10.1111/j.1529-8817.2009.00727.x,1127–1135,45,(5)
"Levine, N.D. (1980) ‘Three New Species of Ascocystis (Apicomplexa, Lecudinidae) From Mosquitoes*: SIO‐MEI LIEN’, The Journal of Protozoology, 27(2), pp. 147–151. Available at: https://doi.org/10.1111/j.1550-7408.1980.tb04669.x.","Levine, N.D. ",1980,"Three New Species of Ascocystis (Apicomplexa, Lecudinidae) From Mosquitoes*: SIO‐MEI LIEN",10.1111/j.1550-7408.1980.tb04669.x,147–151,27,(2)
"Lewis, L.A. and McCourt, R.M. (2004) ‘Green algae and the origin of land plants’, American Journal of Botany, 91(10), pp. 1535–1556. Available at: https://doi.org/10.3732/ajb.91.10.1535.","Lewis, L.A. and McCourt, R.M. ",2004,Green algae and the origin of land plants,10.3732/ajb.91.10.1535,1535–1556,91,(10)
"Li, A.-H. et al. (2020) ‘Diversity and phylogeny of basidiomycetous yeasts from plant leaves and soil: Proposal of two new orders, three new families, eight new genera and one hundred and seven new species’, Studies in Mycology, 96, pp. 17–140. Available at: https://doi.org/10.1016/j.simyco.2020.01.002.","Li, A.-H. et al. ",2020,"Diversity and phylogeny of basidiomycetous yeasts from plant leaves and soil: Proposal of two new orders, three new families, eight new genera and one hundred and seven new species",10.1016/j.simyco.2020.01.002,17–140,96,NA
"Li, D.M. et al. (2008) ‘Coniosporium epidermidis sp. nov., a new species from human skin’, Studies in Mycology, 61, pp. 131–136. Available at: https://doi.org/10.3114/sim.2008.61.13.","Li, D.M. et al. ",2008,"Coniosporium epidermidis sp. nov., a new species from human skin",10.3114/sim.2008.61.13,131–136,61,NA
"Li, J. et al. (2013) ‘Reconsidering the importance of the past in predator–prey models: both numerical and functional responses depend on delayed prey densities’, Proceedings of the Royal Society B: Biological Sciences, 280(1768), p. 20131389. Available at: https://doi.org/10.1098/rspb.2013.1389.","Li, J. et al. ",2013,Reconsidering the importance of the past in predator–prey models: both numerical and functional responses depend on delayed prey densities,10.1098/rspb.2013.1389,20131389,280,(1768)
"Li, J. et al. (2018) ‘Trichoderma cyanodichotomus sp. nov., a new soil-inhabiting species with a potential for biological control’, Canadian Journal of Microbiology, 64(12), pp. 1020–1029. Available at: https://doi.org/10.1139/cjm-2018-0224.","Li, J. et al. ",2018,"Trichoderma cyanodichotomus sp. nov., a new soil-inhabiting species with a potential for biological control",10.1139/cjm-2018-0224,1020–1029,64,(12)
"Libkind, D. et al. (2009) ‘Cystofilobasidium lacus-mascardii sp. nov., a basidiomycetous yeast species isolated from aquatic environments of the Patagonian Andes, and Cystofilobasidium macerans sp. nov., the sexual stage of Cryptococcus macerans’, INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY, 59(3), pp. 622–630. Available at: https://doi.org/10.1099/ijs.0.004390-0.","Libkind, D. et al. ",2009,"Cystofilobasidium lacus-mascardii sp. nov., a basidiomycetous yeast species isolated from aquatic environments of the Patagonian Andes, and Cystofilobasidium macerans sp. nov., the sexual stage of Cryptococcus macerans",10.1099/ijs.0.004390-0,622–630,59,(3)
"Libkind, D., Sampaio, J.P. and Van Broock, M. (2010) ‘Cystobasidiomycetes yeasts from Patagonia (Argentina): description of Rhodotorula meli sp. nov. from glacial meltwater’, International Journal of Systematic and Evolutionary Microbiology, 60(9), pp. 2251–2256. Available at: https://doi.org/10.1099/ijs.0.018499-0.","Libkind, D., Sampaio, J.P. and Van Broock, M. ",2010,Cystobasidiomycetes yeasts from Patagonia (Argentina): description of Rhodotorula meli sp. nov. from glacial meltwater,10.1099/ijs.0.018499-0,2251–2256,60,(9)
"Lim, A.S. et al. (2014) ‘Feeding by the newly described heterotrophic dinoflagellate Stoeckeria changwonensis: A comparison with other species in the family Pfiesteriaceae’, Harmful Algae, 36, pp. 11–21. Available at: https://doi.org/10.1016/j.hal.2014.04.001.","Lim, A.S. et al. ",2014,Feeding by the newly described heterotrophic dinoflagellate Stoeckeria changwonensis: A comparison with other species in the family Pfiesteriaceae,10.1016/j.hal.2014.04.001,11–21,36,NA
"Limtong, S. et al. (2017) ‘Meira siamensis sp. nov., a novel anamorphic ustilaginomycetous yeast species isolated from the vetiver grass phylloplane’, International Journal of Systematic and Evolutionary Microbiology, 67(7), pp. 2418–2422. Available at: https://doi.org/10.1099/ijsem.0.001969.","Limtong, S. et al. ",2017,"Meira siamensis sp. nov., a novel anamorphic ustilaginomycetous yeast species isolated from the vetiver grass phylloplane",10.1099/ijsem.0.001969,2418–2422,67,(7)
"Lin, S., Gobler, C.J. and Carpenter, E.J. (2001) ‘Cytological and biochemical responses of Dunaliella tertiolecta (Volvocales, Chlorophyta) to iron stress’, Phycologia, 40(5), pp. 403–410. Available at: https://doi.org/10.2216/i0031-8884-40-5-403.1.","Lin, S., Gobler, C.J. and Carpenter, E.J. ",2001,"Cytological and biochemical responses of Dunaliella tertiolecta (Volvocales, Chlorophyta) to iron stress",10.2216/i0031-8884-40-5-403.1,403–410,40,(5)
"Lin, Y. et al. (2019) ‘Monoraphidium sp. HDMA-20 is a new potential source of α-linolenic acid and eicosatetraenoic acid’, Lipids in Health and Disease, 18(1), p. 56. Available at: https://doi.org/10.1186/s12944-019-0996-5.","Lin, Y. et al. ",2019,Monoraphidium sp. HDMA-20 is a new potential source of α-linolenic acid and eicosatetraenoic acid,10.1186/s12944-019-0996-5,56,18,(1)
"Linnakoski, R. et al. (2009) ‘<I>Ophiostoma denticiliatum</I> sp. nov. and other <I>Ophiostoma</I> species associated with the birch bark beetle in southern Norway’, Persoonia - Molecular Phylogeny and Evolution of Fungi, 23(1), pp. 9–15. Available at: https://doi.org/10.3767/003158509X468038.","Linnakoski, R. et al. ",2009,<I>Ophiostoma denticiliatum</I> sp. nov. and other <I>Ophiostoma</I> species associated with the birch bark beetle in southern Norway,10.3767/003158509X468038,9–15,23,(1)
"Liu, C. et al. (2020) ‘Genome analyses provide insights into the evolution and adaptation of the eukaryotic Picophytoplankton Mychonastes homosphaera’, BMC Genomics, 21(1), p. 477. Available at: https://doi.org/10.1186/s12864-020-06891-6.","Liu, C. et al. ",2020,Genome analyses provide insights into the evolution and adaptation of the eukaryotic Picophytoplankton Mychonastes homosphaera,10.1186/s12864-020-06891-6,477,21,(1)
"Liu, D. et al. (2019) ‘Two New Species of the Genus Candelariella from China and Korea’, Mycobiology, 47(1), pp. 40–49. Available at: https://doi.org/10.1080/12298093.2019.1583785.","Liu, D. et al. ",2019,Two New Species of the Genus Candelariella from China and Korea,10.1080/12298093.2019.1583785,40–49,47,(1)
"Liu, W. et al. (2012) ‘Phylogeny of three choreotrich genera (Protozoa, Ciliophora, Spirotrichea), with morphological, morphogenetic and molecular investigations on three strobilidiid species’, Zoologica Scripta, 41(4), pp. 417–434. Available at: https://doi.org/10.1111/j.1463-6409.2012.00542.x.","Liu, W. et al. ",2012,"Phylogeny of three choreotrich genera (Protozoa, Ciliophora, Spirotrichea), with morphological, morphogenetic and molecular investigations on three strobilidiid species",10.1111/j.1463-6409.2012.00542.x,417–434,41,(4)
"Liu, X.-Y. et al. (2015) ‘Backbone tree for Chaetothyriales with four new species of Minimelanolocus from aquatic habitats’, Fungal Biology, 119(11), pp. 1046–1062. Available at: https://doi.org/10.1016/j.funbio.2015.08.005.","Liu, X.-Y. et al. ",2015,Backbone tree for Chaetothyriales with four new species of Minimelanolocus from aquatic habitats,10.1016/j.funbio.2015.08.005,1046–1062,119,(11)
"Lizzul, A.M. et al. (2018) ‘Characterization of Chlorella sorokiniana, UTEX 1230’, Biology, 7(2), p. 25. Available at: https://doi.org/10.3390/biology7020025.","Lizzul, A.M. et al. ",2018,"Characterization of Chlorella sorokiniana, UTEX 1230",10.3390/biology7020025,25,7,(2)
"Locke, S.A. et al. (2013) ‘Estimating diet in individual pumpkinseed sunfish Lepomis gibbosus using stomach contents, stable isotopes and parasites’, Journal of Fish Biology, 82(2), pp. 522–537. Available at: https://doi.org/10.1111/j.1095-8649.2012.03497.x.","Locke, S.A. et al. ",2013,"Estimating diet in individual pumpkinseed sunfish Lepomis gibbosus using stomach contents, stable isotopes and parasites",10.1111/j.1095-8649.2012.03497.x,522–537,82,(2)
"Lofton, M.E. et al. (2021) ‘Time series of phytoplankton biovolume at the depth of the vertical chlorophyll maximum in Falling Creek Reservoir, Vinton, VA, USA 2016-2019’. Environmental Data Initiative. Available at: https://doi.org/10.6073/PASTA/2DE760E8B72E474C31E42526F5360F9A.","Lofton, M.E. et al. ",2021,"Time series of phytoplankton biovolume at the depth of the vertical chlorophyll maximum in Falling Creek Reservoir, Vinton, VA, USA 2016-2019",10.6073/PASTA/2DE760E8B72E474C31E42526F5360F9A,NA,NA,NA
"Lombard, L. et al. (2016) ‘Generic hyper-diversity in <I>Stachybotriaceae</I>’, Persoonia - Molecular Phylogeny and Evolution of Fungi, 36(1), pp. 156–246. Available at: https://doi.org/10.3767/003158516X691582.","Lombard, L. et al. ",2016,Generic hyper-diversity in <I>Stachybotriaceae</I>,10.3767/003158516X691582,156–246,36,(1)
"Lombard, L. et al. (2019) ‘Epitypification of Fusarium oxysporum – clearing the taxonomic chaos’, Persoonia - Molecular Phylogeny and Evolution of Fungi, 43(1), pp. 1–47. Available at: https://doi.org/10.3767/persoonia.2019.43.01.","Lombard, L. et al. ",2019,Epitypification of Fusarium oxysporum – clearing the taxonomic chaos,10.3767/persoonia.2019.43.01,1–47,43,(1)
"Long, H. et al. (2008) ‘Taxonomic studies on three marine species of Frontonia from northern China: F. didieri n. sp., F. multinucleata n. sp. and F. tchibisovae Burkovsky, 1970 (Ciliophora: Peniculida)’, Zootaxa, 1687(1). Available at: https://doi.org/10.11646/zootaxa.1687.1.2.","Long, H. et al. ",2008,"Taxonomic studies on three marine species of Frontonia from northern China: F. didieri n. sp., F. multinucleata n. sp. and F. tchibisovae Burkovsky, 1970 (Ciliophora: Peniculida)",10.11646/zootaxa.1687.1.2,NA,1970,NA
"Longcore, J.E. (1992) ‘Morphology and Zoospore Ultrastructure of Chytriomyces Angularis Sp. Nov. (Chytridiales)’, Mycologia, 84(3), pp. 442–451. Available at: https://doi.org/10.1080/00275514.1992.12026158.","Longcore, J.E. ",1992,Morphology and Zoospore Ultrastructure of Chytriomyces Angularis Sp. Nov. (Chytridiales),10.1080/00275514.1992.12026158,442–451,84,(3)
"Longcore, J.E. (2004) ‘Rhizophydium brooksianum sp. nov., a multipored chytrid from soil’, Mycologia, 96(1), pp. 162–171. Available at: https://doi.org/10.1080/15572536.2005.11833007.","Longcore, J.E. ",2004,"Rhizophydium brooksianum sp. nov., a multipored chytrid from soil",10.1080/15572536.2005.11833007,162–171,96,(1)
"Longcore, J.E., Barr, D.J.S. and Désaulniers, N. (1995) ‘Powellomyces , a new genus in the Spizellomycetales’, Canadian Journal of Botany, 73(9), pp. 1385–1390. Available at: https://doi.org/10.1139/b95-151.","Longcore, J.E., Barr, D.J.S. and Désaulniers, N. ",1995,"Powellomyces , a new genus in the Spizellomycetales",10.1139/b95-151,1385–1390,73,(9)
"Longcore, J.E. and Simmons, D.R. (2012) ‘Chytridiomycota’, in Wiley, Encyclopedia of Life Sciences. 1st edn. Wiley. Available at: https://doi.org/10.1002/9780470015902.a0000349.pub3.","Longcore, J.E. and Simmons, D.R. ",2012,Chytridiomycota,10.1002/9780470015902.a0000349.pub3,NA,NA,NA
"López-Rodríguez, M.J., Tierno De Figueroa, J.M. and Alba-Tercedor, J. (2009) ‘Life history of two burrowing aquatic insects in southern Europe: Leuctra geniculata (Insecta: Plecoptera) and Ephemera danica (Insecta: Ephemeroptera)’, Aquatic Insects, 31(2), pp. 99–110. Available at: https://doi.org/10.1080/01650420802620345.","López-Rodríguez, M.J., Tierno De Figueroa, J.M. and Alba-Tercedor, J. ",2009,Life history of two burrowing aquatic insects in southern Europe: Leuctra geniculata (Insecta: Plecoptera) and Ephemera danica (Insecta: Ephemeroptera),10.1080/01650420802620345,99–110,31,(2)
"Lu, L. et al. (2015) ‘Morphological, molecular and virulence characterization of three Lencanicillium species infecting Asian citrus psyllids in Huangyan citrus groves’, Journal of Invertebrate Pathology, 125, pp. 45–55. Available at: https://doi.org/10.1016/j.jip.2015.01.002.","Lu, L. et al. ",2015,"Morphological, molecular and virulence characterization of three Lencanicillium species infecting Asian citrus psyllids in Huangyan citrus groves",10.1016/j.jip.2015.01.002,45–55,125,NA
"Lu, X., Gao, Y. and Weisse, T. (2021) ‘Functional Ecology of Two Contrasting Freshwater Ciliated Protists in Relation to Temperature’, Journal of Eukaryotic Microbiology, 68(1), p. e12823. Available at: https://doi.org/10.1111/jeu.12823.","Lu, X., Gao, Y. and Weisse, T. ",2021,Functional Ecology of Two Contrasting Freshwater Ciliated Protists in Relation to Temperature,10.1111/jeu.12823,e12823,68,(1)
"Lu, X. and Weisse, T. (2022) ‘Top-down control of planktonic ciliates by microcrustacean predators is stronger in lakes than in the ocean’, Scientific Reports, 12(1), p. 10501. Available at: https://doi.org/10.1038/s41598-022-14301-y.","Lu, X. and Weisse, T. ",2022,Top-down control of planktonic ciliates by microcrustacean predators is stronger in lakes than in the ocean,10.1038/s41598-022-14301-y,10501,12,(1)
"Lynch, M. (1980) ‘The Evolution of Cladoceran Life Histories’, The Quarterly Review of Biology, 55(1), pp. 23–42. Available at: https://doi.org/10.1086/411614.","Lynch, M. ",1980,The Evolution of Cladoceran Life Histories,10.1086/411614,23–42,55,(1)
"Lynn, D.H. (ed.) (2010) The Ciliated Protozoa. Dordrecht: Springer Netherlands. Available at: https://doi.org/10.1007/978-1-4020-8239-9.","Lynn, D.H.",2010,NA,10.1007/978-1-4020-8239-9,NA,NA,NA
"Ma, J.-Q. et al. (2019) ‘The Alternative Splicing Landscape of Brassica napus Infected with Leptosphaeria maculans’, Genes, 10(4), p. 296. Available at: https://doi.org/10.3390/genes10040296.","Ma, J.-Q. et al. ",2019,The Alternative Splicing Landscape of Brassica napus Infected with Leptosphaeria maculans,10.3390/genes10040296,296,10,(4)
"Machado, M.D. and Soares, E.V. (2021) ‘Toxicological effects induced by the biocide triclosan on Pseudokirchneriella subcapitata’, Aquatic Toxicology, 230, p. 105706. Available at: https://doi.org/10.1016/j.aquatox.2020.105706.","Machado, M.D. and Soares, E.V. ",2021,Toxicological effects induced by the biocide triclosan on Pseudokirchneriella subcapitata,10.1016/j.aquatox.2020.105706,105706,230,NA
"Madgwick, G. et al. (2006) ‘Phytoplankton communities and antecedent conditions: high resolution sampling in Esthwaite Water’, Freshwater Biology, 51(10), pp. 1798–1810. Available at: https://doi.org/10.1111/j.1365-2427.2006.01607.x.","Madgwick, G. et al. ",2006,Phytoplankton communities and antecedent conditions: high resolution sampling in Esthwaite Water,10.1111/j.1365-2427.2006.01607.x,1798–1810,51,(10)
"Makino, W. and Ban, S. (1998) ‘Diel changes in vertical overlap between Cyclops strenuus (Copepoda; Cyclopoida) and its prey in oligotrophic Lake Toya, Hokkaido, Japan’, Journal of Marine Systems, 15(1–4), pp. 139–148. Available at: https://doi.org/10.1016/S0924-7963(97)00073-0.","Makino, W. and Ban, S. ",1998,"Diel changes in vertical overlap between Cyclops strenuus (Copepoda; Cyclopoida) and its prey in oligotrophic Lake Toya, Hokkaido, Japan",10.1016/S0924-7963(97)00073-0,139–148,15,(1–4)
"Manamgoda, D.S. et al. (2011) ‘Cochliobolus: an overview and current status of species’, Fungal Diversity, 51(1), pp. 3–42. Available at: https://doi.org/10.1007/s13225-011-0139-4.","Manamgoda, D.S. et al. ",2011,Cochliobolus: an overview and current status of species,10.1007/s13225-011-0139-4,3–42,51,(1)
"Manca, M., Comoli, P. and Lencioni, V. (1999) ‘Population dynamics and production of crustacean zooplankton in two mountain lakes in the Italian Alps (Lake Paione Superiore and Lake Malghette).’, Journal of Limnology, 58(1), p. 25. Available at: https://doi.org/10.4081/jlimnol.1999.25.","Manca, M., Comoli, P. and Lencioni, V. ",1999,Population dynamics and production of crustacean zooplankton in two mountain lakes in the Italian Alps (Lake Paione Superiore and Lake Malghette).,10.4081/jlimnol.1999.25,25,58,(1)
"Mann, R.H.K. (1976) ‘Observations on the age, growth, reproduction and food of the chub Squalius cephalus (L.) in the River Stour, Dorset’, Journal of Fish Biology, 8(3), pp. 265–288. Available at: https://doi.org/10.1111/j.1095-8649.1976.tb03950.x.","Mann, R.H.K. ",1976,"Observations on the age, growth, reproduction and food of the chub Squalius cephalus (L.) in the River Stour, Dorset",10.1111/j.1095-8649.1976.tb03950.x,265–288,8,(3)
"Manzi Marinho, M. and De Moraes Huszar, V.L. (2002) ‘Nutrient availability and physical conditions as controlling factors of phytoplankton composition and biomass in a tropical reservoir (Southeastern Brazil)’, Fundamental and Applied Limnology, 153(3), pp. 443–468. Available at: https://doi.org/10.1127/archiv-hydrobiol/153/2002/443.","Manzi Marinho, M. and De Moraes Huszar, V.L. ",2002,Nutrient availability and physical conditions as controlling factors of phytoplankton composition and biomass in a tropical reservoir (Southeastern Brazil),10.1127/archiv-hydrobiol/153/2002/443,443–468,153,(3)
"Mapook, A. et al. (2016) ‘Muyocopronales, ord. nov., (Dothideomycetes, Ascomycota) and a reappraisal of Muyocopron species from northern Thailand’, Phytotaxa, 265(3), p. 225. Available at: https://doi.org/10.11646/phytotaxa.265.3.3.","Mapook, A. et al. ",2016,"Muyocopronales, ord. nov., (Dothideomycetes, Ascomycota) and a reappraisal of Muyocopron species from northern Thailand",10.11646/phytotaxa.265.3.3,225,265,(3)
"Maraslioglu, F. et al. (2022) ‘New Records for The Turkish Freshwater Algal Flora in Twenty-five River Basins of Turkey, Part II: Chlorophyta, Cyanobacteria, Euglenozoa’, Turkish Journal of Fisheries and Aquatic Sciences, 22(8). Available at: https://doi.org/10.4194/TRJFAS19319.","Maraslioglu, F. et al. ",2022,"New Records for The Turkish Freshwater Algal Flora in Twenty-five River Basins of Turkey, Part II: Chlorophyta, Cyanobacteria, Euglenozoa",10.4194/TRJFAS19319,NA,22,(8)
"Margesin, R. and Fell, J.W. (2008) ‘Mrakiella cryoconiti gen. nov., sp. nov., a psychrophilic, anamorphic, basidiomycetous yeast from alpine and arctic habitats’, INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY, 58(12), pp. 2977–2982. Available at: https://doi.org/10.1099/ijs.0.2008/000836-0.","Margesin, R. and Fell, J.W. ",2008,"Mrakiella cryoconiti gen. nov., sp. nov., a psychrophilic, anamorphic, basidiomycetous yeast from alpine and arctic habitats",10.1099/ijs.0.2008/000836-0,2977–2982,58,(12)
"Marin, B. and Melkonian, M. (2010) ‘Molecular Phylogeny and Classification of the Mamiellophyceae class. nov. (Chlorophyta) based on Sequence Comparisons of the Nuclear- and Plastid-encoded rRNA Operons’, Protist, 161(2), pp. 304–336. Available at: https://doi.org/10.1016/j.protis.2009.10.002.","Marin, B. and Melkonian, M. ",2010,Molecular Phylogeny and Classification of the Mamiellophyceae class. nov. (Chlorophyta) based on Sequence Comparisons of the Nuclear- and Plastid-encoded rRNA Operons,10.1016/j.protis.2009.10.002,304–336,161,(2)
"Marin-Felix, Y. et al. (2018) ‘Melanospora (Sordariomycetes, Ascomycota) and its relatives’, MycoKeys, 44, pp. 81–122. Available at: https://doi.org/10.3897/mycokeys.44.29742.","Marin-Felix, Y. et al. ",2018,"Melanospora (Sordariomycetes, Ascomycota) and its relatives",10.3897/mycokeys.44.29742,81–122,44,NA
"Marin-Felix, Y. et al. (2019) ‘Genera of phytopathogenic fungi: GOPHY 3’, Studies in Mycology, 94(1), pp. 1–124. Available at: https://doi.org/10.1016/j.simyco.2019.05.001.","Marin-Felix, Y. et al. ",2019,Genera of phytopathogenic fungi: GOPHY 3,10.1016/j.simyco.2019.05.001,1–124,94,(1)
"Marshall, W.L. and Berbee, M.L. (2011) ‘Facing Unknowns: Living Cultures (Pirum gemmata gen. nov., sp. nov., and Abeoforma whisleri, gen. nov., sp. nov.) from Invertebrate Digestive Tracts Represent an Undescribed Clade within the Unicellular Opisthokont Lineage Ichthyosporea (Mesomycetozoea)’, Protist, 162(1), pp. 33–57. Available at: https://doi.org/10.1016/j.protis.2010.06.002.","Marshall, W.L. and Berbee, M.L. ",2011,"Facing Unknowns: Living Cultures (Pirum gemmata gen. nov., sp. nov., and Abeoforma whisleri, gen. nov., sp. nov.) from Invertebrate Digestive Tracts Represent an Undescribed Clade within the Unicellular Opisthokont Lineage Ichthyosporea (Mesomycetozoea)",10.1016/j.protis.2010.06.002,33–57,162,(1)
