"","Authors","Article.Title","Source.Title","Publication.Year","Volume","Issue","Start.Page","End.Page","DOI","body.size","Abstract"
"169","Tessier, AJ; Leibold, MA; Tsao, J","A fundamental trade-off in resource exploitation by Daphnia and consequences to plankton communities","ECOLOGY",2000,81,"3",826,841,"10.2307/177380",NA,NA
"170","Diesel, R; Schubart, CD; Schuh, M","A reconstruction of the invasion of land by Jamaican crabs (Grapsidae: Sesarminae)","JOURNAL OF ZOOLOGY",2000,250,"",141,160,"10.1017/S0952836900002016",NA,NA
"171","Straile, D; Hälbich, A","Life history and multiple antipredator defenses of an invertebrate pelagic predator, Bythotrephes longimanus","ECOLOGY",2000,81,"1",150,163,"10.2307/177141",NA,NA
"172","Cecchine, G; Snell, TW","Toxicant exposure increases threshold food levels in freshwater rotifer populations","ENVIRONMENTAL TOXICOLOGY",1999,14,"5",523,530,"10.1002/(SICI)1522-7278(199912)14:5<523::AID-TOX6>3.0.CO;2-2","D","effect of food limitiation on rotifer sinsitivity to toxicants"
"173","Dudycha, JL; Tessier, AJ","Natural genetic variation of life span, reproduction, and juvenile growth in Daphnia","EVOLUTION",1999,53,"6",1744,1756,"10.2307/2640437","D","high extrinsic mortality in natural populations shouldselect for accelerated reproductive investment and shortened life span"
"174","Pfister, G; Sonntag, B; Posch, T","Comparison of a direct live count and an improved quantitative protargol stain (QPS) in determining abundance and cell volumes of pelagic freshwater protozoa","AQUATIC MICROBIAL ECOLOGY",1999,18,"1",95,103,"10.3354/ame018095","D","A direct live count and a routinely applicable modification of a quantitative protargol stain (QPS) were evaluated with respect to their reliability in determining and quantifying pelagic freshwater ciliates and heterotrophic and mixotrophic flagellates. "
"175","Tittel, J; Zippel, B; Geller, W; Seeger, J","Relationships between plankton community structure and plankton size distribution in lakes of northern Germany","LIMNOLOGY AND OCEANOGRAPHY",1998,43,"6",1119,1132,"10.4319/lo.1998.43.6.1119",NA,NA
"176","Twombly, S; Clancy, N; Burns, CW","Life history consequences of food quality in the freshwater copepod Boeckella triarticulata","ECOLOGY",1998,79,"5",1711,1724,"NA4",NA,NA
"177","Panov, VE; McQueen, DJ","Effects of temperature on individual growth rate and body size of a freshwater amphipod","CANADIAN JOURNAL OF ZOOLOGY",1998,76,"6",1107,1116,"10.1139/cjz-76-6-1107",NA,NA
"178","Kawabata, K; Urabe, J","Length-weight relationships of eight freshwater planktonic crustacean species in Japan","FRESHWATER BIOLOGY",1998,39,"2",199,205,"10.1046/j.1365-2427.1998.00267.x","D","The relationships between body length and dry weight were examined for eight species of freshwater planktonic crustacea common in Japan"
"179","Ryan, SM; Dodson, SI","Seasonal analysis of Daphnia pulicaria swimming behavior","HYDROBIOLOGIA",1998,384,"",111,118,"10.1023/A:1003295210747","D"," individual swimming behavior of Daphnia pulicaria over a yearly cycle in a temperate lake"
"180","Telesh, IV; Rahkola, M; Viljanen, M","Carbon content of some freshwater rotifers","HYDROBIOLOGIA",1998,387,"",355,360,"10.1023/A:1017092021816","D","Carbon content of rotifers from 14 species was determined with the high temperature combustion method of Salonen"
"181","Stockwell, JD; Johannsson, OE","Temperature-dependent allometric models to estimate zooplankton production in temperate freshwater lakes","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",1997,54,"10",2350,2360,"10.1139/cjfas-54-10-2350",NA,NA
"182","Weisse, T; Kirchhoff, B","Feeding of the heterotrophic freshwater dinoflagellate Peridiniopsis berolinense on cryptophytes: Analysis by flow cytometry and electronic particle counting","AQUATIC MICROBIAL ECOLOGY",1997,12,"2",153,164,"10.3354/ame012153","D","e measured feeding rates and food select~vlty of the heterotrophic freshwater dinoflagellate Peridiniopsis berolinense by analytic flow cytometry (AFC), electronic particle counting and
sizing (EPCS), and conventional microscopy. "
"183","McKee, D; Ebert, D","The effect of temperature on maturation threshold body-length in Daphnia magna","OECOLOGIA",1996,108,"4",627,630,"10.1007/BF00329035",NA,NA
"184","Hart, RC","Naupliar and copepodite growth and survival of two freshwater calanoids at various food levels: Demographic contrasts, similarities, and food needs","LIMNOLOGY AND OCEANOGRAPHY",1996,41,"4",648,658,"10.4319/lo.1996.41.4.0648",NA,NA
"185","Macek, M; Simek, K; Pernthaler, J; Vyhnalek, V; Psenner, R","Growth rates of dominant planktonic ciliates in two freshwater bodies of different trophic degree","JOURNAL OF PLANKTON RESEARCH",1996,18,"4",463,481,"10.1093/plankt/18.4.463","D","The in situ growth rates of dominant ciliate species were studied during and shortly after phytoplankton peaks in two water bodies"
"186","Lei, J; Payne, BS; Wang, SY","Filtration dynamics of the zebra mussel, Dreissena polymorpha","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",1996,53,"1",29,37,"10.1139/f95-164",NA,NA
"187","WEN, YH; PETERS, RH","EMPIRICAL-MODELS OF PHOSPHORUS AND NITROGEN-EXCRETION RATES BY ZOOPLANKTON","LIMNOLOGY AND OCEANOGRAPHY",1994,39,"7",1669,1679,"10.4319/lo.1994.39.7.1669",NA,NA
"188","LAMBERT, DL; TAYLOR, PN; GOULDER, R","BETWEEN-SITE COMPARISON OF FRESH-WATER BACTERIOPLANKTON BY DNA HYBRIDIZATION","MICROBIAL ECOLOGY",1993,26,"3",189,200,"NA5",NA,NA
"189","HART, RC; JARVIS, AC","INSITU DETERMINATIONS OF BACTERIAL SELECTIVITY AND FILTRATION-RATES BY 5 CLADOCERAN ZOOPLANKTERS IN A HYPERTROPHIC SUBTROPICAL RESERVOIR","JOURNAL OF PLANKTON RESEARCH",1993,15,"3",295,315,"10.1093/plankt/15.3.295","D","Cladoceran in situ feeding rates on natural bacteria labelled with [methyl-3H] were studied"
"190","BIRD, DF; KALFF, J","PROTOZOAN GRAZING AND THE SIZE ACTIVITY STRUCTURE OF LIMNETIC BACTERIAL COMMUNITIES","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",1993,50,"2",370,380,"10.1139/f93-042",NA,NA
"191","MULLER, H; GELLER, W","MAXIMUM GROWTH-RATES OF AQUATIC CILIATED PROTOZOA - THE DEPENDENCE ON BODY SIZE AND TEMPERATURE RECONSIDERED","ARCHIV FUR HYDROBIOLOGIE",1993,126,"3",315,327,"NA6","D","Measuring maximum growth rates of freshwater cilliates"
"192","VAQUE, D; PACE, ML","GRAZING ON BACTERIA BY FLAGELLATES AND CLADOCERANS IN LAKES OF CONTRASTING FOOD-WEB STRUCTURE","JOURNAL OF PLANKTON RESEARCH",1992,14,"2",307,321,"10.1093/plankt/14.2.307","D","tested the hypothesis that grazing on bacteria would vary between lakes with differing plankton community structures"
"193","SHERR, EB; SHERR, BF; BERMAN, T; HADAS, O","HIGH ABUNDANCE OF PICOPLANKTON-INGESTING CILIATES DURING LATE FALL IN LAKE KINNERET, ISRAEL","JOURNAL OF PLANKTON RESEARCH",1991,13,"4",789,799,"10.1093/plankt/13.4.789","D","composition of lake kinneret"
"194","MACISAAC, HJ; GILBERT, JJ","DISCRIMINATION BETWEEN EXPLOITATIVE AND INTERFERENCE COMPETITION BETWEEN CLADOCERA AND KERATELLA-COCHLEARIS","ECOLOGY",1991,72,"3",924,937,"10.2307/1940594","D","assessed the relative extent by which small- and large-bodied cladocerans suppressed the rotifer Keratella cochlearis by t"
"195","CHOWFRASER, P; MALY, EJ","FACTORS GOVERNING CLUTCH SIZE IN 2 SPECIES OF DIAPTOMUS (COPEPODA, CALANOIDA)","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",1991,48,"3",364,370,"10.1139/f91-048","D","conducted a synoptic survey of 1 1 wonstratifying lakes in eastern Quebec to investigate the relative importance of water temperature, food concentration ([Chi a]), female prosome length, copepod density (population and community densities), and mate availability (sex ratio and density of males) in determining the clutch size of two freshwater copepods, Biaptsmus minutus and B. sregsasensis"
"196","GIANI, A","IMPLICATIONS OF PHYTOPLANKTON CHEMICAL-COMPOSITION FOR ZOOPLANKTON PRODUCTION - EXPERIMENTAL-EVIDENCE","OECOLOGIA",1991,87,"3",409,416,"10.1007/BF00634599","D","Growth and reproduction of two Daphnia species (Cladocera) from Lake Constance were measured experimentally in a through-flow laboratory system under different food conditions, in order to investigate the effect of food quality on zooplankton populations"
"197","NAGATA, T; WATANABE, Y","CARBON-TO-VOLUME AND NITROGEN-TO-VOLUME RATIOS OF BACTERIOPLANKTON GROWN UNDER DIFFERENT NUTRITIONAL CONDITIONS","APPLIED AND ENVIRONMENTAL MICROBIOLOGY",1990,56,"5",1303,1309,"10.1128/AEM.56.5.1303-1309.1990",NA,NA
"198","ROCHA, O; DUNCAN, A","THE RELATIONSHIP BETWEEN CELL CARBON AND CELL-VOLUME IN FRESH-WATER ALGAL SPECIES USED IN ZOOPLANKTONIC STUDIES","JOURNAL OF PLANKTON RESEARCH",1985,7,"2",279,294,"10.1093/plankt/7.2.279","D","New records of cell carbon and cell volume are given for five species of freshwater algae cultured optimally for use in physiological studies on Daphnia spp."
"199","SMITH, REH; KALFF, J","COMPETITION FOR PHOSPHORUS AMONG CO-OCCURRING FRESH-WATER PHYTOPLANKTON","LIMNOLOGY AND OCEANOGRAPHY",1983,28,"3",448,464,"10.4319/lo.1983.28.3.0448","D","Competition at different levels of phosphorus availability was observed in continuous cultures of freshwater phytoplankton communities"
"200","MURTAUGH, PA","SIZE-SELECTIVE PREDATION ON DAPHNIA BY NEOMYSIS-MERCEDIS","ECOLOGY",1981,62,"4",894,900,"10.2307/1936986",NA,NA
